言語ID,メッセージID,メッセージ
"JP","BW005","設置工事明細データの設置_手配_区分が請求書区分に変換できません。 SETTI_IRAISYO_NO=%1 MEI_NO=%2 SETTI_TEHAI_KBN=%3"
"JP","BW006","修理手配データ_明細の修理_手配_区分が請求書区分に変換できません。 SYURI_IRAISYO_NO=%1 MEI_NO=%2 SYURI_TEHAI_KBN=%3"
"JP","BW007","コード変換E(%1) %2,%3"
"JP","BW008","無効な得意先です。得意先CD=%1 伝票NO=%2 状態=%3"
"JP","BW009","取引条件がありませんでした。%1"
"JP","BW010","親子計算方法は按分ですが、値引区分に「卸得意先別単価にて設定」が設定されています。%1"
"JP","BW011","処理中に異常が発生しました。請求先CD=%1"
"JP","BW012","破産残高データに最新レコードが登録されていません。得意先CD=%1"
"JP","BW014","%1が作成されています。"
"JP","BW999","%1"
"JP","C994","アプリケーションサーバへのログ出力に失敗しました。"
"JP","C995","「{0}」は印刷プレビューの表示タイプとして正しくありません。"
"JP","C996","OWFファイルが設定されていません。"
"JP","C997","OWFファイル名が設定されていません。"
"JP","C998","行番号は0以上を指定してください。"
"JP","C999","クライアントでエラーが発生しました。"
"JP","E000","%1"
"JP","E001","「%1」は%2を入力して下さい。"
"JP","E002","「%1」に入力したコード[%2]は%3で使用されています。"
"JP","E003","「%1」に入力したコード[%2]は既に存在しています。"
"JP","E004","明細の追加は%1件まで可能です。"
"JP","E005","「%1」は01から28までの数字、もしくは99を入力して下さい。"
"JP","E006","適用開始日に%1は指定できません。"
"JP","E007","「%1」に入力したコード[%2]は指定できません。"
"JP","E008","「%1」「%2」に入力したコード「%3」「%4」は既に存在しています。"
"JP","E009","「%1」が[%2]の行は削除できません。"
"JP","E010","%1は%2件以上の登録が必要です。"
"JP","E011","アップロードファイルが見つかりません。"
"JP","E012","「%1」以降に更新されたデータは存在しません。"
"JP","E013","チャネル選択項目は必ず１つ以上選択してください。"
"JP","E014","「%1」に過去日は入力できません"
"JP","E015","適用終了日は、適用開始日より未来の日付を指定してください。"
"JP","E016","既に他の利用者により更新されています。"
"JP","E017","兼務切替中の為、起動出来ません。"
"JP","E018","部署切替中の為、起動出来ません。"
"JP","E019","代行切替中の為、起動出来ません。"
"JP","E020","%LST_ROW_IDX%行目の「%IT_CAPTION%」は必ず選択してください。"
"JP","E021","最終行の論理条件は選択を解除してください。"
"JP","E022","SQLエラーが発生しました。：%1"
"JP","E023","データ件数が%1件となり、CSV出力可能件数を超えたました。条件で絞り込んで下さい。"
"JP","E024","テーブル名、または項目が一致しないため、検索条件を反映できません。"
"JP","E025","既に他の利用者により削除されています。"
"JP","E026","既に他の利用者により更新されています。再読込を行ってください。"
"JP","E027","パラメータに「申請_番号」が設定されていません。"
"JP","E028","パラメータに「申請_種別_コード」が設定されていません。"
"JP","E029","パラメータに「承認_ルート_番号」が設定されていません。"
"JP","E030","パラメータに「処理_区分」が設定されていません。"
"JP","E031","処理_区分は「1」、「2」、「3」、「4」、「5」のみ設定可能です。"
"JP","E032","パラメータに「取消_区分」が設定されていません。"
"JP","E033","取消_区分は「0」、「1」のみ設定可能です。"
"JP","E034","パラメータに「元_申請_番号」が設定されていません。"
"JP","E035","パラメータに「伝票_日」が設定されていません。"
"JP","E036","該当伝票の承認ルート関連のマスタが設定されていません。"
"JP","E037","パラメータに「確定された場合に実行するメソッド」が設定されていません。"
"JP","E038","%1「%2」は指定できません。"
"JP","E039","「%1」の%2に失敗しました。"
"JP","E040","「%1」に採番したコード[%2]は%3で使用されています。"
"JP","E041","「%1」は（%2～%3）の範囲内で入力してください。"
"JP","E042","該当するデータは見つかりませんでした。"
"JP","E043","一覧から%1を選択してください。"
"JP","E044","「%1」は重複しています。"
"JP","E045","「%1」が入力されている場合、「%2」は必須です。"
"JP","E046","「%1」を選択していてかつ「%2」が未入力の場合、「%3」は必須です。"
"JP","E047","指定されたデータは既に管理部署で更新されています。"
"JP","E048","%1を複数選択する事はできません。"
"JP","E049","%1、%2できません。"
"JP","E050","「%1」に入力したコード[%2]は[%3]が存在しません。"
"JP","E051","「%1」に入力した「%2」は%3に存在しません。"
"JP","E052","「%1」に入力した「%2」は%3のため申請できません。"
"JP","E053","%1行目の「%2」を入力してください。"
"JP","E054","当伝票は確定済のため、取消できません。"
"JP","E055","%1のいずれかを%2して下さい。"
"JP","E056","「%1」に「%2」以上の金額を入力できません。"
"JP","E057","「%1」は「%2」の口座を設定してください。"
"JP","E058","「%1」を入力する場合、「%2」を入力してください。"
"JP","E059","選択された明細行の協定書が存在しません。"
"JP","E060","得意先「%1」、支払先「%2」の「%3」を入力してください。"
"JP","E061","「定率値引範囲FROM」が「定率値引範囲TO」を超えています。"
"JP","E062","「%1」は「%2」より未来の日付を入力してください。"
"JP","E063","呼出NO[%1]は確定された明細があるため、削除できません。"
"JP","E064","既に振込データ作成済のため、可決できません。"
"JP","E065","指定した呼出NO以外の売上報告書を取込できません。"
"JP","E066","売上金額、本数の合計が売上報告入力画面と異なります。売上報告入力画面の売上金額、本数を書き換えますか？"
"JP","E067","%1処理でエラーが発生しました。エラー内容「%2」"
"JP","E068","ロケーション[%1]の売価詳細を入力してください。"
"JP","E069","ロケーション[%1]の現金売上、請求金額に同じ金額を入力してください。"
"JP","E070","支払期限を過ぎているため申請できません。"
"JP","E071","取消伝票のため、取消起票できません。"
"JP","E072","既に%1のため、取消起票できません。"
"JP","E073","会計締日（%1）以前の伝票は申請できません。"
"JP","E074","指定した会社、種別の口座が既に登録されているため、新規登録できません。"
"JP","E075","指定した締日の%1は既に申請済のため、申請できません。"
"JP","E076","Ｇ１未決裁の営業所が存在するため、申請できません。"
"JP","E077","回送順は%1件以内で設定してください。"
"JP","E078","JOBカレンダ連携が異常終了しました。OperationMGRカレンダを確認してください。"
"JP","E079","「%1」にシステム処理日より[%2]ヶ月以内の日付を入力してください。"
"JP","E080","一年超欄を選択した場合、削除欄を選択してください。"
"JP","E081","「%1」は他部署の得意先コードです。"
"JP","E082","「%1」に未来日は入力できません。"
"JP","E083","「締日」には前回締処理日（%1）より未来の日付を入力してください。"
"JP","E084","%1 日の未締データが存在するため、「締日」にそれより未来の日付を入力してください。"
"JP","E085","同一の締日／ロケーション／摘要を持つ代行データが存在します。"
"JP","E086","得意先「%1」／締日（%2）に該当するデータは締処理済です。"
"JP","E087","「%1」の[%2]を選択した場合は、%3のいずれかを入力してください。"
"JP","E088","申請中の伝票があるため、締日変更できません。エラー情報を確認してください。"
"JP","E089","「%1」を入力して下さい。"
"JP","E090","%1の「%2」を入力して下さい。"
"JP","E091","%1の場合、%2は指定できません。"
"JP","E092","%1が存在しません。"
"JP","E093","「%1」は「%2」から「%3」までの数字を入力してください。"
"JP","E094","仕訳実行済のため、再度%1できません。"
"JP","E095","処理区分[%1]の場合、[%2]できません。"
"JP","E096","「%1」に「%2」以降の日付を入力してください。"
"JP","E097","「%1」に「%2」を入力できません。"
"JP","E098","処理区分[%1]の場合、メイン口座を選択してください。"
"JP","E099","%1のため、変更できません。"
"JP","E100","%1のため、申請できません。申請番号:%2"
"JP","E101","指定した締日、支払先の%1は既に申請済のため、申請できません。"
"JP","E102","取引条件マスタに設定されている納品・請求時定率値引のFROM～TO範囲内にて値を指定して下さい。"
"JP","E103","郵便番号データファイルのロードに失敗しました。「%1」"
"JP","E104","「%1」は有効な部署コードではありません。"
"JP","E105","他の部署の部署グループに設定されているため、削除できません。"
"JP","E106","「%1」と「%2」の組合せが正しくありません。"
"JP","E107","郵便番号マスタ登録が異常終了しました。「%1」"
"JP","E108","郵便番号「%1」が重複しています。"
"JP","E109","郵便番号「%1」が特殊郵便番号範囲に含まれています。"
"JP","E110","地区コード「%1」が特殊地区コード範囲に含まれています。"
"JP","E111","住所１「%1」の地区コードが異なります。"
"JP","E112","地区コード「%1」の住所１が異なります。"
"JP","E113","「%1」または「%2」は設定できません。"
"JP","E114","%1が可能な%2ではありません。"
"JP","E115","%1と%2が違います。"
"JP","E116","「%1」の[%2]を選択した場合は「%3」を必ず入力して下さい。"
"JP","E117","「%1」に[%2]は指定できません。"
"JP","E118","%1に相違があります。%2を確認して下さい。"
"JP","E119","「定額」、「最低保障」両方とも0円の場合、「調整金額」に0円以外の金額を入力できません。"
"JP","E120","更新対象レコードがありません。"
"JP","E121","指定した会社、種別の口座が登録されていないため、「%1」できません。"
"JP","E122","%1の場合、「%2」に[%3]は指定できません。"
"JP","E123","%1ため、取戻できません。"
"JP","E124","「%1」に入力した[%2]は使用できません。"
"JP","E125","この支払先への入力開始日は到来していないため納品書入力できません。"
"JP","E126","同一伝票内に支払区分とそれ以外の区分を混在させることはできません。"
"JP","E127","「%1」≦「%2」となるように入力してください。"
"JP","E128","[%1]より未来の日付は入力できません。"
"JP","E129","会計締日（%1）以前の「伝票日」を入力できません。"
"JP","E130","ロケーション[%1]の手入力手数料を入力してください。"
"JP","E131","ロケーション[%1]の売上金額、本数が売価詳細入力画面と異なります。ご確認ください。"
"JP","E132","確定の状態が変わりますから、先に保存してください。"
"JP","E133","抽出データが複数件存在します。条件で絞り込んで下さい。"
"JP","E134","「%1」に１明細以上入力して下さい。"
"JP","E135","取戻可能回送数は、登録されている回送明細数以下に設定して下さい。"
"JP","E136","都道府県と市区町村の合計文字数が２０文字を超えています。「%1」"
"JP","E137","町域の文字数が２０文字を超えています。「%1」"
"JP","E138","変更・削除の権限がありません。"
"JP","E139","変更後口座情報が変更前と同じです。"
"JP","E140","アップロード中にエラーが発生しました。"
"JP","E141","%1する前に、%2処理を行ってください。"
"JP","E142","事故報告書No[%1]で既に報告されています。"
"JP","E143","%1は必ず１つ以上%2してください。"
"JP","E144","%1に%2の%3が含まれています。"
"JP","E145","手配中の管理票が存在しているため、変更できません。"
"JP","E146","%1が%2と重複しています。"
"JP","E147","既に自販機設置されている%1です。"
"JP","E148","異なる%1の預り機です。"
"JP","E149","異なる%1の管理票Ｎｏです。"
"JP","E150","異なる%1の伝票Ｎｏです。"
"JP","E151","%1の管理票Ｎｏです。"
"JP","E152","「%1」に入力した[%2]は見つかりませんでした。"
"JP","E153","%1から%2には変更できません。"
"JP","E154","%1と%2が同じです。"
"JP","E155","%1の管理票ではありません。"
"JP","E156","%1の場合、「%2」は[%3]を指定してください。"
"JP","E157","業者に対応した支払先が登録されていません。"
"JP","E158","変更されていないため、確定できません。"
"JP","E159","異なる様式の覚書Ｎｏです。"
"JP","E160","指定した覚書は契約可能台数がありません。"
"JP","E161","%1が%2のため、%3できません。"
"JP","E162","元依頼書No[%1]が完了確認されていません。"
"JP","E163","派生依頼書No[%1]が完了確認されています。"
"JP","E164","取込ファイルの[%1]行目は「%2」です。"
"JP","E165","%1の%2は%3で入力してください。"
"JP","E166","機種、機番の組合せが自社機の組合せです。"
"JP","E167","選択した明細は「%1」です。"
"JP","E168","%1[%2]が登録されているため、%3を変更できません。"
"JP","E169","%1で赤黒処理となる依頼書Noです。"
"JP","E170","%1の桁が繰上げされるため、%1または%2を見直してください。"
"JP","E171","%1の入力数値に誤りがあります。"
"JP","E172","「%1」に「%2」の前回設置日(%3)以降の日付を入力してください。"
"JP","E173","「%1」は過去「%2」日以内の日付を入力してください。"
"JP","E174","該当の什器設置情報は削除できません。"
"JP","E175","「%1」の選択可能業者ではありません。"
"JP","E176","最新の移動履歴は、移動入力で作成した情報ではないため、変更できません。"
"JP","E177","最新版数のデータは%1できません。"
"JP","E178","検索条件のいずれも入力されていません。"
"JP","E179","管理票Ｎｏ[%1]、得意先コード[%2]、レンタル会員番号[%3]の有償台帳は既に存在しています。"
"JP","E180","契約条件が「顧客リース」のとき、支払回数は、36回、48回、60回しか入力できません。"
"JP","E181","同一会社の支払先が既に入力されています。"
"JP","E182","%1は%2以下の値を入力してください。"
"JP","E183","%1は%2以上の値を入力してください。"
"JP","E184","既に契約が登録されているため削除できません。"
"JP","E185","同一作業内容でのセレクション、底面積の混在設定はできません。"
"JP","E186","入力した「%1」は既に存在しています。"
"JP","E187","「セレクション」、「底面積」のいずれも入力されていません。"
"JP","E188","「%1」、「%2」の両方を入力する事はできません。"
"JP","E189","「%1」で始まる%2用のファイルではありません。"
"JP","E190","レンタル会員番号[%1]は、有償台帳データに存在しません。"
"JP","E191","不能管理テーブルに重複データが存在しています。不能発生日= [%1]、レンタルリース= [%2]、契約書No= [%3]、得意先コード= [%4]。"
"JP","E192","%1時点の消費税が取得できません。"
"JP","E193","指定したリース会社のファイルではありません。"
"JP","E194","取込された管理票No[%1]の%2が正しくありません。"
"JP","E195","取込された管理票No[%1]は、自販機リースマスタに存在しません。"
"JP","E196","明細No[%1]は契約書No単位で%2を選択してください。"
"JP","E197","明細No[%1]の契約書Noは既に採番なしで登録されています。"
"JP","E198","契約書No[%1]のレンタル会員番号「%2」は有償台帳データに存在しています。"
"JP","E199","契約書No[%1]のレンタル会員番号が既に登録されています。採番なしチェックを外してください。"
"JP","E200","自動採番をしてください。"
"JP","E201","「%1」が選択されていません。"
"JP","E202","既に%1済みの有償データです。"
"JP","E203","自社契約のため、解約できません。"
"JP","E204","%1が[%2]以降のデータが既に存在しています。"
"JP","E205","[%1]以降の%2を入力してください。"
"JP","E206","入力した%1、%2が既に登録されています。"
"JP","E207","ロケーションコード[%1]、リベート明細番号[%2]の協定書の支払条件区分は「手入力」です。手数料再計算する前に、売上報告入力機能で手数料を入力してください。"
"JP","E208","入力した「%1」で「%2」を取得できません。"
"JP","E209","「%1」に入力した[%2]は完了入力が行われています。"
"JP","E210","「%1」に入力した[%2]はレンタル契約入力が行われています。"
"JP","E211","ダミー覚書No.は使用できません。"
"JP","E212","「%1」に入力した[%2]は契約書Noとして正しくありません。"
"JP","E213","「%1」に入力した[%2]は存在しません。"
"JP","E214","管理票Ｎｏ[%1]は設置先情報が更新されています。"
"JP","E215","得意先コード[%1]、ロケーションコード[%2]の有償機情報が存在しません。"
"JP","E216","得意先コード[%1]、管理票Ｎｏ「%2」、契約書No[%3]、 自社No[%4]は有償契約ではありません。"
"JP","E217","既設管理票No[%1]は代替可能な契約ではありません。"
"JP","E218","指定した設置日[%1]～[%2]のデータは存在しません。"
"JP","E219","複数の消費税率にまたがる設置期間です。"
"JP","E220","「%1」に入力した[%2]は既に送付票が受領されています。"
"JP","E221","「%1」に入力した[%2]は既に更新締が行われています。"
"JP","E222","入力された得意先コードと、ロケーションの得意先コードが同じです。"
"JP","E223","ロケーションコード[%1]の協定書が存在しません。"
"JP","E224","既にロケーションが登録されている直販FOです。"
"JP","E225","指定したロケーションの自販機は中途解約中のため、得意先変更はできません。"
"JP","E226","有償台帳データに複数データがあります。"
"JP","E227","「保険限度額算出一覧」に入力した「支払月数」が１～６０の連続ではありません。"
"JP","E228","管理票Ｎｏ[%1]にはロケーション[%2]の履歴が存在しません。"
"JP","E229","ロケーションコード[%1]は既に更新されています。"
"JP","E230","契約書No[%1]は有償台帳データに存在しません。"
"JP","E232","「%1」と「%2」の組合せは既に存在しています。"
"JP","E233","「%1」に入力した[%2]は既に存在しています。"
"JP","E234","「%1」に「%2」より前の日付を入力してください。"
"JP","E235","データ件数が%1件を超えました。"
"JP","E236","%1のデータ件数が%2件を超えました。"
"JP","E237","指定した条件の売上報告書は既に出力されています。"
"JP","E238","「%1」に「%2」以前の日付を入力してください。"
"JP","E239","「%1」タブの%2行目の修理区分が変更されています。部品入力画面で再度確定してください。"
"JP","E240","本人へ代行を設定することはできません。"
"JP","E241","管理票No[%1]は手配中です。"
"JP","E242","「%1」を入力する場合、「%2」または「%3」を入力してください。"
"JP","E243","作業明細に[%1]が重複しています。"
"JP","E244","「%1」に入力した[%2]は%3です。"
"JP","E245","「%1」の[%2]を選択した場合は、%3のいずれかを[%4]に設定してください。"
"JP","E246","%1[%2]で使用されているため%3できません。"
"JP","E247","%1行目の%2に%3は指定できません。"
"JP","E248","%1行目の%2は存在しません。"
"JP","E249","%1と%2が一致するように入力してください。"
"JP","E250","%1が%2になるように、%3を入力してください。"
"JP","E251","%1が%2ではない場合、%3を必ず入力してください。"
