コンデションID,コンディション名称,項目順序,コンディション項目ID,コンディション値,コンディションラベル,登録担当者,登録日付,更新担当者,更新時間
"COD_HUTAN_KBN05","負担区分05","5","SETTISAKI","06","設置先","fsol05","2009/03/23 20:12:58","fsol05","2009/03/24 11:26:29"
"COD_HUTAN_KBN05","負担区分05","6","SONOTA","07","その他","fsol05","2009/03/23 20:12:58","fsol05","2009/03/24 11:26:29"
"COD_HYOUZI_KBN01","表示区分01","1","ALL","0","全て","fsol07","2011/01/26 14:47:41","fsol07","2011/01/26 14:47:41"
"COD_HYOUZI_KBN01","表示区分01","2","MI_SYORI","1","未処理","fsol07","2011/01/26 14:47:41","fsol07","2011/01/26 14:47:41"
"COD_HYOUZI_KBN01","表示区分01","3","TEISI_SUMI","2","停止済","fsol07","2011/01/26 14:47:41","fsol07","2011/01/26 14:47:41"
"COD_INFO_KBN01","情報区分01","1","SINKI","0","新規","lpa01","2008/08/19 15:52:08","fsol14","2009/12/02 14:48:19"
"COD_INFO_KBN01","情報区分01","2","SYUSEI","1","修正","lpa01","2008/08/19 15:52:08","fsol14","2009/12/02 14:48:19"
"COD_INFO_KBN01","情報区分01","3","KIZON","2","既存","lpa01","2008/08/19 15:52:08","fsol14","2009/12/02 14:48:19"
"COD_INSATU_TAISYO01","印刷対象01","1","ALL","0","全て","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:48:41"
"COD_INSATU_TAISYO01","印刷対象01","2","MINYURYOKU","1","未入力リスト","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:48:41"
"COD_INSATU_TAISYO01","印刷対象01","3","MISYURI","2","未修理リスト","fsol05","2009/03/23 20:12:58","fsol14","2009/12/02 14:48:41"
"COD_KAGISYOZAI_KBN01","カギ所在地区分01","1","EIGYOUSYO","0","営業所","fsol05","2009/03/23 20:12:58","fsol05","2009/03/23 20:14:10"
"COD_KAGISYOZAI_KBN01","カギ所在地区分01","2","TOKUISAKI","1","得意先","fsol05","2009/03/23 20:12:58","fsol05","2009/03/23 20:14:10"
"COD_KAGISYOZAI_KBN01","カギ所在地区分01","3","SETTISAKI","2","設置先","fsol05","2009/03/23 20:12:58","fsol05","2009/03/23 20:14:10"
"COD_KAGISYOZAI_KBN01","カギ所在地区分01","4","TC","3","ＴＣ","fsol05","2009/03/23 20:12:58","fsol05","2009/03/23 20:14:10"
"COD_KAGISYOZAI_KBN01","カギ所在地区分01","5","SONOTA","4","その他","fsol05","2009/03/23 20:12:58","fsol05","2009/03/23 20:14:10"
"COD_KAIIN_UMU_KBN01","会員番号有無区分01","1","ARI","1","有り","base07","2009/05/07 18:28:48","fsol14","2009/12/02 14:49:37"
"COD_KAIIN_UMU_KBN01","会員番号有無区分01","2","NASI","0","無し","base07","2009/05/07 18:28:48","fsol14","2009/12/02 14:49:37"
"COD_KAISOUSITEI_KBN01","回送先指定区分01","1","BUSHO_OWN","0","自部署","fsol09","2008/07/15 16:45:15","fsol14","2009/12/02 15:32:41"
"COD_KAISOUSITEI_KBN01","回送先指定区分01","2","BUSHO_GRP","1","部署グループ","fsol09","2008/07/15 16:45:15","fsol14","2009/12/02 15:32:41"
"COD_KAISOUSITEI_KBN01","回送先指定区分01","3","BUSHO_SITEI","2","部署指定","fsol09","2008/07/15 16:45:15","fsol14","2009/12/02 15:32:41"
"COD_KAISOUSITEI_KBN01","回送先指定区分01","4","BUSHO_NINI","3","任意部署","fsol09","2008/07/15 16:45:15","fsol14","2009/12/02 15:32:41"
"COD_KAISYA_KBN01","会社区分01","1","HONTAI","1000","本体","fsol09","2008/05/02 09:15:22","fsol14","2009/12/02 14:49:48"
"COD_KAISYA_KBN01","会社区分01","2","HANSYA","5300","販社","fsol09","2008/05/02 09:15:22","fsol14","2009/12/02 14:49:48"
"COD_KAISYU_CYCLE_KBN01","回収サイクル区分01","1","TOUGETU","0","当月","lpa00","2008/07/08 11:23:32","fsol14","2009/12/02 14:51:10"
"COD_KAISYU_CYCLE_KBN01","回収サイクル区分01","2","YOKUGETU","1","翌月","lpa00","2008/07/08 11:23:32","fsol14","2009/12/02 14:51:10"
"COD_KAISYU_CYCLE_KBN01","回収サイクル区分01","3","YOKU2GETU","2","翌々月","lpa00","2008/07/08 11:23:32","fsol14","2009/12/02 14:51:10"
"COD_KAISYU_CYCLE_KBN01","回収サイクル区分01","4","YOKU3GETU","3","翌々々月","lpa00","2008/07/08 11:23:32","fsol14","2009/12/02 14:51:10"
"COD_KAISYU_CYCLE_KBN01","回収サイクル区分01","5","NASI","9","回収管理しない","lpa00","2008/07/08 11:23:32","fsol14","2009/12/02 14:51:10"
