用語物理名,用語論理名,備考,登録担当者,登録日付,更新担当者,更新時間
"KAIPAGE","改頁","","lpa01","2008/05/26 13:50:13","lpa01","2008/05/26 13:50:13"
"KAISOU","回送","","sis01","2008/04/21 10:21:19","sis01","2008/04/21 10:21:19"
"KAISU","回数","","sis01","2008/04/21 10:21:24","sis01","2008/04/21 10:21:24"
"KAISYA","会社","","Administrator","2008/04/16 18:20:22","Administrator","2008/04/16 18:20:22"
"KAISYU","回収","","sis01","2008/04/21 10:21:44","sis01","2008/04/21 10:21:44"
"KAITOKU","回得","","sis01","2008/04/21 10:21:51","sis01","2008/04/21 10:21:51"
"KAITORI","買取","","lpa01","2008/08/18 17:43:31","lpa01","2008/08/18 17:43:31"
"KAIYAKU","解約","","sis01","2008/04/21 10:22:02","sis01","2008/04/21 10:22:02"
"KAIZYO","解除","","sis05","2008/07/01 10:18:32","sis05","2008/07/01 10:18:32"
"KAKAKU","価格","","sis01","2008/04/21 10:22:10","sis01","2008/04/21 10:22:10"
"KAKERITU","掛率","","sis01","2008/04/23 14:14:15","sis01","2008/04/23 14:14:15"
"KAKUNIN","確認","","lpa00","2008/07/10 10:45:30","lpa00","2008/07/10 10:45:30"
"KAKUTEI","確定","","sis01","2008/04/21 10:22:17","sis01","2008/04/21 10:22:17"
"KAMOKU","科目","","sis01","2008/04/21 10:22:24","sis01","2008/04/21 10:22:24"
"KANA","カナ","","sis01","2008/04/21 10:22:30","sis01","2008/04/21 10:22:30"
"KANKEI","関係","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"KANOU","可能","","sis01","2008/04/21 10:22:35","sis01","2008/04/21 10:22:35"
"KANRI","管理","","sis01","2008/04/21 10:22:40","sis01","2008/04/21 10:22:40"
"KANRYOU","完了","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"KANSA","監査","","sis01","2008/04/21 10:22:45","sis01","2008/04/21 10:22:45"
"KANYU","加入","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"KANZI","漢字","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"KARA","～","","lpa01","2008/05/27 19:48:09","lpa01","2008/05/27 19:48:09"
"KARI","仮","","sis01","2008/04/22 09:50:36","sis01","2008/04/22 09:50:36"
"KARIBARAI","仮払","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
"KARIKATA","借方","大同薬品工業","fsol20","2009/02/12 19:10:31","fsol20","2009/02/12 19:10:31"
"KARIZIME","仮締","","fsol05","2010/06/24 20:25:12","fsol05","2010/06/24 20:25:12"
"KASAN","加算","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"KASIDAORE","貸倒","","sis01","2008/04/21 10:23:14","sis01","2008/04/21 10:23:14"
"KASIKATA","貸方","大同薬品工業","fsol20","2009/02/10 09:52:33","fsol20","2009/02/10 09:52:33"
"KASYO","箇所","","lpa01","2008/08/20 09:48:13","lpa01","2008/08/20 09:48:13"
"KAZEI","課税","","sis01","2008/04/21 10:23:23","sis01","2008/04/21 10:23:23"
"KBN","区分","","sis01","2008/04/21 10:23:29","sis01","2008/04/21 10:23:29"
"KEI","系","","base09","2008/12/05 14:42:09","base09","2008/12/05 14:42:09"
"KEIHI","経費","","sis01","2008/04/21 10:23:34","sis01","2008/04/21 10:23:34"
"KEIKOUTOU","蛍光灯","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"KEIRI","経理","","sis01","2008/04/21 10:23:39","sis01","2008/04/21 10:23:39"
"KEISIKI","形式","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"KEITAI","形態","","sis01","2008/04/21 10:23:44","sis01","2008/04/21 10:23:44"
"KEIYAKU","契約","","sis01","2008/04/21 10:23:50","sis01","2008/04/21 10:23:50"
"KEIYAKUSYO","契約書","","sis01","2008/04/21 10:23:57","sis01","2008/04/21 10:23:57"
"KEIZOKU","継続","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"KEIZYOU","計上","","sis01","2008/04/21 10:24:02","sis01","2008/04/21 10:24:02"
"KEKKA","結果","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"KENGEN","権限","","sis01","2008/04/21 10:24:08","sis01","2008/04/21 10:24:08"
"KENMEI","件名","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"KENMU","兼務","","fsol09","2008/06/19 14:48:01","fsol09","2008/06/19 14:48:01"
"KENSU","件数","","wt03","2008/05/19 14:36:46","wt03","2008/05/19 14:36:46"
"KESIKOMI","消込","","fsol05","2010/06/25 20:26:10","fsol05","2010/06/25 20:26:10"
"KESSAI","決済","","fsol10","2011/01/11 15:41:26","fsol10","2011/01/11 15:41:26"
"KESSAI","決裁","","sis01","2008/04/23 14:17:11","sis01","2008/04/23 14:17:11"
"KESSAN","決算","","sis01","2008/04/21 10:24:20","sis01","2008/04/21 10:24:20"
"KETA","桁数","","sis01","2008/04/21 10:24:24","sis01","2008/04/21 10:24:24"
"KETTEI","決定","","sis01","2008/04/23 14:16:11","sis01","2008/04/23 14:16:11"
"KIAN","起案","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"KIBAN","機番","","sis01","2008/04/21 10:24:34","sis01","2008/04/21 10:24:34"
"KIBOU","希望","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"KIBOUKOURI","希望小売","","sis01","2008/04/21 10:24:39","sis01","2008/04/21 10:24:39"
"KIDOU","起動","","fsol05","2008/06/24 14:48:18","fsol05","2008/06/24 14:48:18"
"KIGEN","期限","","sis01","2008/04/21 10:24:44","sis01","2008/04/21 10:24:44"
"KIGYOU","企業","","sis01","2008/04/21 10:24:49","sis01","2008/04/21 10:24:49"
"KIHON","基本","","sis01","2008/04/21 10:24:55","sis01","2008/04/21 10:24:55"
"KIHUKIN","寄付金","","sis01","2008/04/21 10:25:00","sis01","2008/04/21 10:25:00"
"KIHYOU","起票","","wt03","2008/05/16 17:03:23","wt03","2008/05/16 17:03:23"
"KIKAKU","規格","","sis01","2008/04/21 10:25:06","sis01","2008/04/21 10:25:06"
"KIKAN","期間","","sis01","2008/04/21 10:25:11","sis01","2008/04/21 10:25:11"
"KIKETU","既決","","fsol00","2008/08/21 20:09:08","fsol00","2008/08/21 20:09:08"
"KIMATU","期末","","fsol07","2011/01/25 22:00:42","fsol07","2011/01/25 22:00:42"
"KIN10","金額10","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"KIN12","金額12","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
"KIN15","金額15","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"KIN8","金額8","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"KINGAKU","金額","","fsol03","2008/04/18 15:57:24","sis01","2008/04/22 09:49:48"
"KINMU","勤務","","fsol10","2008/04/22 09:26:05","fsol10","2008/04/22 09:26:05"
"KINOU","機能","","lpa01","2008/06/30 11:22:00","lpa01","2008/06/30 11:22:00"
"KINSYU","金種","","fsol10","2011/01/11 13:03:43","fsol10","2011/01/11 13:03:43"
"KIRIKAE","切替","","wt01","2008/06/09 13:29:15","wt01","2008/06/09 13:29:15"
"KISAN","起算","","sis01","2008/04/21 10:25:40","sis01","2008/04/21 10:25:40"
"KISETU","既設","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"KISYU","期首","","fsol07","2011/01/25 22:00:30","fsol07","2011/01/25 22:00:30"
"KISYU","機種","","sis01","2008/04/21 10:26:10","sis01","2008/04/21 10:26:10"
"KIZITU","期日","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
"KIZON","既存","","sis01","2008/04/21 10:26:18","sis01","2008/04/21 10:26:18"
"KIZYUN","基準","","sis01","2008/04/21 10:26:58","sis01","2008/04/21 10:26:58"
"KNZ","勘定","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
"KO","子","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
"KOBETU","個別","","fsol14","2008/10/09 10:34:18","fsol14","2008/10/09 10:34:18"
"KOGITTE","小切手","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"KOKYAKU","顧客","","base01","2008/12/12 13:21:27","base01","2008/12/12 13:21:27"
"KOMI","込","","sis01","2008/04/21 10:27:05","sis01","2008/04/21 10:27:05"
"KONKAI","今回","","sis01","2008/04/21 10:27:10","sis01","2008/04/21 10:27:10"
"KONKI","今期","","sis01","2008/04/21 10:27:26","sis01","2008/04/21 10:27:26"
"KONZAI","混在","","sis01","2008/04/23 14:14:21","sis01","2008/04/23 14:14:21"
"KOSYOU","故障","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"KOTEI","固定","","sis01","2008/04/21 10:27:31","sis01","2008/04/21 10:27:31"
"KOTOSI","今年","","fsol09","2008/10/24 20:23:13","fsol09","2008/10/24 20:23:13"
"KOUIKI","広域","","sis01","2008/04/21 10:27:36","sis01","2008/04/21 10:27:36"
"KOUKAI","公開","","lpa01","2008/06/11 14:25:00","lpa01","2008/06/11 14:25:00"
"KOUKANZYO","交換所","","sis01","2008/04/21 10:27:40","sis01","2008/04/21 10:27:40"
"KOUKOKU","広告","","lpa01","2008/06/11 15:54:48","lpa01","2008/06/11 15:54:48"
"KOUNYU","購入","大同薬品工業","fsol20","2009/02/04 09:36:35","fsol20","2009/02/04 09:36:35"
"KOURYOU","工料","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"KOUSEI","更生","","sis01","2008/04/21 10:27:45","sis01","2008/04/21 10:27:45"
"KOUZA","口座","","sis01","2008/04/21 10:27:52","sis01","2008/04/21 10:27:52"
"KOUZI","工事","","fsol05","2009/04/13 15:31:26","fsol05","2009/04/13 15:31:26"
"KRHEN","関連費援助","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"KURADASI","蔵出","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"KURIKAESI","繰返","","fsol10","2008/07/15 11:32:14","fsol10","2008/07/15 11:32:14"
"KURIKOSI","繰越","","sis01","2008/04/21 10:28:17","sis01","2008/04/21 10:28:17"
"KYAKU","客","","sis01","2008/04/21 10:29:07","sis01","2008/04/21 10:29:07"
"KYORI","距離","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"KYOUEIKAI","共栄会","","sis01","2008/04/21 10:30:16","sis01","2008/04/21 10:30:16"
"KYOUSAN","協賛","","lpa01","2008/06/11 15:54:02","lpa01","2008/06/11 15:54:02"
"KYOUSANKIN","協賛金","","lpa01","2008/06/11 14:17:50","lpa01","2008/06/11 14:17:50"
"KYOUSYUTU","供出","","sis01","2008/04/21 10:30:22","sis01","2008/04/21 10:30:22"
"KYOUTEISYO","協定書","","sis01","2008/04/21 10:30:27","sis01","2008/04/21 10:30:27"
"KYOUTU","共通","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"KYOUYO","供与","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"KYOUYOU","共用","","sis01","2008/04/21 10:30:32","sis01","2008/04/21 10:30:32"
"KYOYOU","許容","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"KYU","旧","","sis01","2008/04/23 14:10:03","sis01","2008/04/23 14:10:03"
"KYUZITU","休日","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"L","Ｌ","","sis05","2008/06/30 15:36:31","sis05","2008/06/30 15:36:31"
"L","大","","sis01","2008/04/21 10:30:40","sis01","2008/04/21 10:30:40"
"LABEL","ラベル","","fsol10","2008/07/23 11:43:30","fsol10","2008/07/23 11:43:30"
"LAST","最終","","sis01","2008/04/21 10:30:45","sis01","2008/04/21 10:30:45"
"LEASE","リース","","sis01","2008/04/21 10:30:53","sis01","2008/04/21 10:30:53"
"LEASERYOU","リース料","","fsol05","2009/03/19 15:24:22","fsol05","2009/03/19 15:24:22"
"LIST","リスト","","sis01","2008/04/21 10:31:00","sis01","2008/04/21 10:31:00"
"LITERAL","リテラル","","fsol10","2008/07/15 11:34:47","fsol10","2008/07/15 11:34:47"
"LMT","限度","","sis01","2008/04/21 10:31:09","sis01","2008/04/21 10:31:09"
"LOCATION","ロケーション","","sis01","2008/04/21 10:31:16","sis01","2008/04/21 10:31:16"
"LOGIN","ログイン","","sis01","2008/04/21 10:31:22","sis01","2008/04/21 10:31:22"
"LSIEN","ロケ支援","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"LVL","レベル","","sis01","2008/04/21 10:31:28","sis01","2008/04/21 10:31:28"
"M","中","","sis01","2008/04/21 10:31:33","sis01","2008/04/21 10:31:33"
"MAE","前","","sis01","2008/04/23 14:16:05","sis01","2008/04/23 14:16:05"
"MAEBKIN","前払金","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/21 10:42:29"
"MAGO","孫","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"MAIKAI","毎回","","sis01","2008/04/21 10:31:43","sis01","2008/04/21 10:31:43"
"MAIN","メイン","","fsol05","2009/03/27 16:19:42","fsol05","2009/03/27 16:19:42"
"MAINTE","メンテナンス","","sis01","2008/04/21 10:32:42","fsol05","2009/05/11 13:32:59"
"MAISU","枚数","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"MAKER","メーカー","","sis01","2008/04/21 10:31:54","sis01","2008/04/21 10:31:54"
"MANU","マニュフェスト","","sis01","2008/04/21 10:32:02","sis01","2008/04/21 10:32:02"
"MARK","マーキング","","sis01","2008/04/21 10:32:08","sis01","2008/04/21 10:32:08"
"MARUME","丸め","","sis01","2008/04/21 10:32:13","sis01","2008/04/21 10:32:13"
"MASTER","マスタ","","lpa01","2008/08/18 19:32:11","lpa01","2008/08/18 19:32:11"
"MATCH","マッチ","","wt03","2008/05/20 10:49:05","wt03","2008/05/20 10:49:05"
"MATTAN","末端","","sis01","2008/04/21 10:32:18","sis01","2008/04/21 10:32:18"
"MEI","明細","","sis01","2008/04/21 10:32:23","sis01","2008/04/21 10:32:23"
"MEI","名","","sis05","2008/07/04 10:31:43","sis05","2008/07/04 10:31:43"
"MEIGI","名義","","sis01","2008/04/21 10:32:28","sis01","2008/04/21 10:32:28"
"MEIGININ","名義人","","sis01","2008/04/21 10:32:32","sis01","2008/04/21 10:32:32"
"MEISAISYO","明細書","","sis01","2008/04/21 10:32:37","sis01","2008/04/21 10:32:37"
"MENU","メニュー","","sis01","2008/04/21 10:32:47","sis01","2008/04/21 10:32:47"
"MI","未","","sis01","2008/04/21 10:32:52","sis01","2008/04/21 10:32:52"
"MIKETU","未決","","fsol00","2008/08/21 20:09:18","fsol00","2008/08/21 20:09:18"
"MIKETUBAKO","未決箱","","fsol10","2011/01/04 19:43:04","fsol10","2011/01/04 19:43:04"
"MIKOMI","見込","","sis01","2008/04/23 14:10:45","sis01","2008/04/23 14:10:45"
"MIN","ミニ","","fsol14","2008/10/09 19:11:28","fsol14","2008/10/09 19:11:28"
"MINHOSYOU","最低保障","","sis01","2008/04/21 12:28:34","sis01","2008/04/21 12:28:34"
"MISYU","未収","","lpa00","2008/07/10 11:57:25","fsol07","2009/12/08 10:37:49"
"MITATU","未達","","lpa01","2008/10/01 15:08:02","lpa01","2008/10/01 15:08:02"
"MITUMORI","見積","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"MODOSIIRE","戻入","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"MOKUHYOU","目標","","sis01","2008/04/21 10:32:57","sis01","2008/04/21 10:32:57"
"MON","月曜","","sis01","2008/04/21 10:33:07","sis01","2008/04/21 10:33:07"
"MONEY","マネー","","lpa01","2008/08/18 17:41:18","lpa01","2008/08/18 17:41:18"
"MONTHLY","月次","","sis01","2008/04/21 10:47:09","sis01","2008/04/21 10:47:09"
"MOTO","元","","sis01","2008/04/21 10:33:11","sis01","2008/04/21 10:33:11"
"MOZI","文字","","fsol10","2008/07/14 20:27:44","fsol10","2008/07/16 14:07:07"
"MSG","メッセージ","","wt03","2008/08/08 16:19:13","wt03","2008/08/08 16:19:13"
"MUSYOU","無償","","sis01","2008/04/21 10:33:16","sis01","2008/04/21 10:33:16"
"NAIYOU","内容","","sis01","2008/04/23 14:10:28","sis01","2008/04/23 14:10:28"
"NAIYOURYOU","内容量","","sis01","2008/04/23 14:17:36","sis01","2008/04/23 14:17:36"
"NASI","無し","","base00","2008/10/30 19:59:03","fsol05","2009/04/13 14:32:00"
"NEBIKI","値引","","sis01","2008/04/21 10:33:20","sis01","2008/04/21 10:33:20"
"NEN","年","","sis01","2008/04/21 10:33:25","sis01","2008/04/21 10:33:25"
"NENDO","年度","","sis01","2008/04/21 10:33:47","sis01","2008/04/21 10:33:47"
"NENKAN","年間","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"NENNAI","年内","","sis01","2008/04/21 10:33:31","sis02","2008/04/24 16:26:59"
"NENSIKI","年式","","sis01","2008/04/21 10:33:53","sis01","2008/04/21 10:33:53"
"NENSU","年数","","sis01","2008/04/21 10:33:58","sis01","2008/04/21 10:33:58"
"NETEITOU","根抵当権","","sis01","2008/04/23 14:17:17","sis01","2008/04/23 14:17:17"
"NEW","新品","","sis01","2008/04/21 10:34:02","sis01","2008/04/21 10:34:02"
"NIKKEIHYOU","日計表","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"NINI","任意","","sis01","2008/04/21 10:34:12","sis01","2008/04/21 10:34:12"
"NIPPOU","日報","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"NISSU","日数","","sis01","2008/04/21 10:34:18","sis01","2008/04/21 10:34:18"
"NIZYU","二重","","fsol07","2011/02/17 15:09:11","fsol07","2011/02/17 15:09:11"
"NKASYO","Ｎ箇所","","lpa01","2008/06/11 14:41:43","lpa01","2008/06/11 14:41:43"
"NM","名称","","Administrator","2008/04/16 18:14:46","Administrator","2008/04/17 16:43:53"
"NM70","名称70","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"NM80","名称80","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"NO","ＮＯ","","sis05","2008/06/30 18:26:38","sis05","2008/06/30 18:26:38"
"NO","番号","","sis01","2008/04/21 10:34:46","sis01","2008/04/21 10:34:46"
"NO15","番号15","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"NO16","番号16","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"NORIKAE","乗換","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"NOUHIN","納品","","sis01","2008/04/21 10:34:53","fsol10","2008/07/15 15:36:40"
"NOUHINSYO","納品書","","sis02","2008/04/21 10:04:27","sis02","2008/04/21 10:04:27"
"NOUHINZI","納品時","","fsol10","2008/07/14 21:53:05","fsol10","2008/07/16 14:34:32"
"NOUKIN","納金","","sis02","2008/04/21 10:05:40","sis02","2008/04/21 10:05:40"
"NOUNYU","納入","","sis02","2008/04/21 10:06:15","sis02","2008/04/21 10:06:15"
"NOUSEIZI","納品請求時","","fsol10","2008/07/15 16:12:56","fsol10","2008/07/16 14:07:21"
"NUKI","抜","","sis02","2008/04/21 10:06:37","sis02","2008/04/21 10:06:37"
"NYUKAI","入会","","sis02","2008/04/21 10:07:01","sis02","2008/04/21 10:07:01"
"NYUKIN","入金","","sis02","2008/04/21 10:07:14","sis02","2008/04/21 10:07:14"
"NYUKO","入庫","","sis02","2008/04/21 10:07:31","sis02","2008/04/21 10:07:31"
"NYUSYA","入社","","sis02","2008/04/21 10:07:41","sis02","2008/04/21 10:07:41"
"OBOEGAKI","覚書","","sis02","2008/04/21 10:08:02","sis02","2008/04/21 10:08:02"
"OFFLINE","オフライン","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
"OKAIAGE","お買上げ","","fsol10","2011/01/11 22:08:26","fsol10","2011/01/11 22:08:26"
"OKURIZYOU","送り状","","sis02","2008/04/21 10:08:21","sis02","2008/04/21 10:08:21"
"OKUYUKI","奥行き","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"OLD","中古","","sis02","2008/04/21 10:08:34","sis02","2008/04/21 10:08:34"
"ONLINE","オンライン","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
"OROSI","卸","","sis02","2008/04/21 10:08:47","sis02","2008/04/21 10:08:47"
"OUT","出力","","sis02","2008/04/21 10:09:01","sis02","2008/04/21 10:09:01"
"OUT","アウト","","lpa01","2008/06/24 13:14:07","lpa01","2008/06/24 13:14:07"
"OYA","親","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"OYAKO","親子","","sis02","2008/04/21 10:09:24","sis02","2008/04/21 10:09:24"
"PALLET","パレット","","sis02","2008/04/21 10:09:40","sis02","2008/04/21 10:09:40"
"PASS","パスワード","","sis02","2008/04/21 10:10:00","sis02","2008/04/21 10:10:00"
"PATTERN","パッタン","","base08","2009/04/17 17:00:16","base08","2009/04/17 17:00:16"
"PERCENT","％","","fsol14","2008/10/17 15:31:53","fsol14","2009/01/05 17:16:01"
"PET","ペット","","sis02","2008/04/21 10:10:12","sis02","2008/04/21 10:10:12"
"PG","プログラム","","wt03","2008/08/08 11:33:03","wt03","2008/08/08 11:33:03"
"PG","ＰＧ","","sis02","2008/04/24 15:25:13","sis02","2008/04/24 15:25:13"
"PLAN","計画","","sis02","2008/04/21 10:10:24","sis02","2008/04/21 10:10:24"
"POST","郵便","","sis02","2008/04/21 10:10:58","sis02","2008/04/21 10:10:58"
"PROOF","プルーフ","","sis02","2008/04/21 10:11:11","sis02","2008/04/21 10:11:11"
"PRT","印刷","","sis02","2008/04/21 10:11:26","sis02","2008/04/21 10:11:26"
"PST","過去","","sis02","2008/04/21 10:11:48","sis02","2008/04/21 10:11:48"
"PTN","パターン","","fsol10","2008/04/22 23:06:07","fsol10","2008/04/22 23:07:09"
"RACK","ラック","","sis01","2008/04/23 14:17:05","sis01","2008/04/23 14:17:05"
"RAINEN","来年","","fsol09","2008/10/24 20:24:57","fsol09","2008/10/24 20:24:57"
"RE","レギュラー","","fsol14","2008/10/09 19:10:37","fsol14","2008/10/09 19:10:37"
"RE","再","","sis02","2008/04/21 10:12:03","sis02","2008/04/21 10:12:03"
"REBATE","リベート","","sis02","2008/04/21 10:12:21","sis02","2008/04/21 10:12:21"
"REC","レコード","","sis05","2008/07/07 14:08:10","sis05","2008/07/07 14:09:21"
"REF","照会","","sis02","2008/04/21 10:12:38","sis02","2008/04/21 10:12:38"
"REI","例","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"RENBAN","連番","","sis02","2008/04/21 10:12:51","sis02","2008/04/21 10:12:51"
"RENKEI","連携","","sis02","2008/04/21 10:13:03","sis02","2008/04/21 10:13:03"
"RENRAKU","連絡","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"RENTAI","連帯","","sis02","2008/04/21 10:13:17","sis02","2008/04/21 10:13:17"
"RENTAL","レンタル","","sis02","2008/04/21 10:13:40","sis02","2008/04/21 10:13:40"
"RESERVE","リザーブ","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
"RINGI","稟議","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"RIRITU","利率","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"RISOKU","利息","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"RITU","率","","sis02","2008/04/21 10:13:52","sis02","2008/04/21 10:13:52"
"RITU3","率3","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"RIYU","理由","","sis02","2008/04/21 10:14:04","sis02","2008/04/21 10:14:04"
"RONRI","論理","","wt01","2008/07/29 14:47:08","wt01","2008/07/29 14:47:08"
"ROUTE","ルート","","sis02","2008/04/21 10:14:26","sis02","2008/04/21 10:14:26"
"ROUTEMAN","ルートマン","","sis02","2008/04/21 10:14:34","sis02","2008/04/21 10:14:34"
"RUI","累計","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"RUISIN","累進","","sis02","2008/04/21 10:14:47","sis02","2008/04/21 10:14:47"
"RYAKU","略","","sis02","2008/04/21 10:14:59","sis02","2008/04/21 10:14:59"
"RYOHI","旅費","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"RYOUIKI","領域","大同薬品工業","fsol20","2009/02/23 22:09:00","fsol20","2009/02/23 22:09:00"
"RYOUKIN","料金","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"RYOURITU","料率","","sis02","2008/04/21 10:15:15","sis02","2008/04/21 10:15:15"
"RYUTU","流通","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"S","小","","sis02","2008/04/21 10:15:26","sis02","2008/04/21 10:15:26"
"SAGAKU","差額","","fsol10","2011/01/04 17:18:30","fsol10","2011/01/04 17:18:30"
"SAGYOU","作業","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"SAIBAN","採番","","sis02","2008/04/21 10:15:37","sis02","2008/04/21 10:15:37"
"SAIDAI","最大","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"SAIKEN","債権","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
"SAIMOKU","細目","","sis02","2008/04/21 10:15:49","sis02","2008/04/21 10:15:49"
"SAIMU","債務","","sis02","2008/04/21 10:16:01","sis02","2008/04/21 10:16:01"
"SAISEIKI","再生機","","sis02","2008/04/21 10:16:14","sis02","2008/04/21 10:16:14"
"SAISIN","最新","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"SAKI","先","","sis02","2008/04/21 10:17:59","sis02","2008/04/21 10:17:59"
"SAKUSEI","作成","","sis02","2008/04/21 10:18:11","sis02","2008/04/21 10:18:11"
"SANSYUTU","算出","","sis01","2008/04/23 14:14:55","sis01","2008/04/23 14:14:55"
"SARAINEN","再来年","","fsol09","2008/10/24 20:25:13","fsol09","2008/10/24 20:25:13"
"SASIHIKI","差引","","sis01","2008/05/12 14:57:11","sis01","2008/05/12 14:57:11"
"SASIMODOSI","差戻","","sis02","2008/04/21 10:18:22","sis02","2008/04/21 10:18:22"
"SAT","土曜","","sis02","2008/04/21 10:18:40","sis02","2008/04/21 10:18:40"
"SCALE","寸法","","sis02","2008/04/21 10:18:52","sis02","2008/04/21 10:18:52"
"SEARCH","検索","","wt01","2008/06/09 11:02:50","wt01","2008/06/09 11:02:50"
"SEDAI","世代","","fsol09","2008/04/24 14:52:30","fsol09","2008/04/24 14:52:30"
"SEG","セグメント","","sis02","2008/04/21 10:19:02","sis02","2008/04/21 10:19:02"
"SEIBI","整備","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"SEIGYO","制御","","fsol14","2008/12/24 16:32:28","fsol14","2008/12/24 16:32:28"
"SEIKYU","請求","","sis02","2008/04/21 10:19:14","sis02","2008/04/21 10:19:14"
"SEIKYUSYO","請求書","","sis02","2008/04/21 10:19:23","sis02","2008/04/21 10:19:23"
"SEIKYUZI","請求時","","fsol10","2008/07/14 21:53:48","fsol10","2008/07/16 14:38:32"
"SEISAN","生産","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
