用語物理名,用語論理名,備考,登録担当者,登録日付,更新担当者,更新時間
"TYAKUTM","着時間","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"TYOIKI","町域","","sis02","2008/04/21 10:45:55","sis02","2008/04/21 10:45:55"
"TYOKUHAN","直販","","sis02","2008/04/21 10:46:04","sis02","2008/04/21 10:46:04"
"TYOKUZOKU","直属","","sis02","2008/04/21 10:46:12","sis02","2008/04/21 10:46:12"
"TYOTIKU","貯蓄","","sis02","2008/04/21 10:46:24","sis02","2008/04/21 10:46:24"
"TYOU","長","","sis02","2008/04/21 10:46:35","sis02","2008/04/21 10:46:35"
"TYOUAI","帳合","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"TYOUHYOU","帳票","","fsol07","2008/06/03 13:53:49","fsol07","2008/06/03 13:53:49"
"TYOUKA","超過","","fsol10","2011/01/13 18:35:29","fsol10","2011/01/13 18:35:29"
"TYOUKI","長期","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"TYOUSEI","調整","","sis02","2008/04/21 10:46:44","sis02","2008/04/21 10:46:44"
"TYPE","タイプ","","fsol12","2008/10/17 20:42:57","fsol12","2008/10/17 20:42:57"
"TYUKAI","仲介","","sis02","2008/04/21 10:47:03","sis02","2008/04/21 10:52:22"
"TYUKAN","中間","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"TYUMON","注文","","fsol10","2008/07/16 10:54:36","fsol10","2008/07/16 10:54:36"
"TYUSYUTU","抽出","","sis02","2008/04/21 10:47:54","sis02","2008/04/21 10:47:54"
"TYUTO","中途","","sis02","2008/04/21 10:48:05","sis02","2008/04/21 10:48:05"
"UKEBARAI","受払","","fsol10","2011/01/04 20:09:30","fsol10","2011/01/04 20:09:30"
"UKEIRE","受入","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"UKETORI","受取","","sis01","2008/04/23 14:15:16","sis01","2008/04/23 14:15:16"
"UKETUKE","受付","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"UMU","有無","","lpa02","2008/05/28 17:38:02","lpa02","2008/05/28 17:38:02"
"UNSOU","運送","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"UPDATE","更新","","sis02","2008/04/21 10:48:14","wt01","2008/08/28 21:24:00"
"URAGAKI","裏書","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"URI","売上","","sis02","2008/04/21 10:48:23","sis02","2008/04/21 10:48:23"
"URIKAKE","売掛","","sis02","2008/04/21 10:48:33","sis02","2008/04/21 10:48:33"
"URIKAKEKIN","売掛金","","sis02","2008/04/21 10:48:52","sis02","2008/04/21 10:48:52"
"URIKIRE","売切","","sis02","2008/04/21 10:48:59","sis02","2008/04/21 10:48:59"
"URIWATASI","売渡","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"UTIBAKO","内箱","","sis02","2008/04/21 10:49:14","sis02","2008/04/21 10:49:14"
"UTIWAKE","内訳","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"UTIZEI","内税","","base01","2008/11/14 11:53:58","base01","2008/11/14 11:53:58"
"VAL","値","","wt03","2008/05/20 10:53:53","wt03","2008/05/20 10:53:53"
"VENDOR","ベンダー","","sis02","2008/04/21 10:49:24","sis02","2008/04/21 10:49:24"
"VER","バージョン","","sis02","2008/04/21 10:49:39","sis02","2008/04/21 10:49:39"
"WARIHURI","割振","","sis01","2008/04/23 17:45:09","sis01","2008/04/23 17:45:09"
"WARNING","Ｗａｒｎｉｎｇ","","lpa04","2009/10/06 13:47:00","lpa04","2009/10/06 13:47:00"
"WED","水曜","","sis02","2008/04/21 10:49:49","sis02","2008/04/21 10:49:49"
"WEEK","週","","fsol09","2008/11/04 18:08:08","fsol09","2008/11/04 18:08:08"
"WEIGHT","重量","","sis02","2008/04/21 10:49:58","sis02","2008/04/21 10:49:58"
"WF","ＷＦ","","sis01","2008/04/23 14:17:47","sis01","2008/04/23 14:17:47"
"YAKU","役職","","sis02","2008/04/21 10:50:17","sis02","2008/04/21 10:50:17"
"YEARLY","年次","","sis01","2008/04/21 10:47:33","sis01","2008/04/21 10:47:33"
"YEN","円","","sis02","2008/04/21 10:50:24","sis02","2008/04/21 10:50:24"
"YH","薬品","大同薬品工業","fsol20","2009/02/04 09:37:20","fsol20","2009/02/04 09:37:20"
"YM","年月","","sis02","2008/04/21 10:50:33","sis02","2008/04/21 10:50:33"
"YMD","年月日","","sis02","2008/04/21 10:50:41","sis02","2008/04/21 10:50:41"
"YOBI","予備","","sis02","2008/04/21 10:50:50","sis02","2008/04/21 10:50:50"
"YOBIDASI","呼出","","sis05","2008/06/30 18:25:32","sis05","2008/06/30 18:25:32"
"YOKIN","預金","","sis02","2008/04/21 10:51:00","sis02","2008/04/21 10:51:00"
"YOKUGETU","翌月","","sis01","2008/04/21 10:44:21","sis01","2008/04/21 10:44:21"
"YOKUKI","翌期","","sis01","2008/04/21 10:44:28","sis01","2008/04/21 10:44:28"
"YOSAN","予算","","sis01","2008/04/21 10:44:46","sis01","2008/04/21 10:44:46"
"YOSIN","与信","","sis01","2008/04/21 10:44:53","sis01","2008/04/21 10:44:53"
"YOTEI","予定","","sis01","2008/04/21 10:44:58","sis01","2008/04/21 10:44:58"
"YOU","用","","sis05","2008/07/08 14:10:59","sis05","2008/07/08 14:10:59"
"YOUBI","曜日","","sis01","2008/04/21 10:45:03","sis01","2008/04/21 10:45:03"
"YOUKI","容器","","sis01","2008/04/21 10:45:09","sis01","2008/04/21 10:45:09"
"YOURYOU","容量","","sis01","2008/04/23 14:17:42","sis01","2008/04/23 14:17:42"
"YOUSI","用紙","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"YOUSIKI","様式","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"YOUTO","用途","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"YOYAKU","予約","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"YOZYOU","余剰","","sis01","2008/04/21 10:45:14","sis01","2008/04/21 10:45:14"
"YUKOU","有効","","sis01","2008/04/23 14:11:41","sis01","2008/04/23 14:11:41"
"YUSEN","優先","","base08","2008/12/08 10:04:25","base08","2008/12/08 10:04:25"
"YUSYOU","有償","","sis01","2008/04/21 10:45:19","sis01","2008/04/21 10:45:19"
"ZAN","残","","sis01","2008/04/21 10:45:26","sis01","2008/04/21 10:45:26"
"ZAN12","残高12","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
"ZANDAKA","残高","","sis01","2008/05/12 14:57:37","sis01","2008/05/12 14:57:37"
"ZANSAI","残債","","sis01","2008/04/21 10:45:31","sis01","2008/04/21 10:45:31"
"ZEI","税","","sis05","2008/07/07 16:25:46","sis05","2008/07/07 16:25:46"
"ZEIKOMI","税込","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"ZEINUKI","税抜","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"ZENGETU","前月","","sis01","2008/04/21 10:45:36","sis01","2008/04/21 10:45:36"
"ZENKAI","前回","","sis01","2008/04/21 10:45:41","sis01","2008/04/21 10:45:41"
"ZENKI","前期","","sis01","2008/04/21 10:45:49","sis01","2008/04/21 10:45:49"
"ZENSYA","全社","","sis01","2008/04/21 10:45:54","sis01","2008/04/21 10:45:54"
"ZENZITU","前日","","fsol07","2011/01/18 22:13:17","fsol07","2011/01/18 22:13:17"
"ZI","時","","lpa01","2008/05/30 17:27:44","lpa01","2008/08/26 12:38:58"
"ZIBUSYO","自部署","","fsol05","2010/10/07 19:23:39","fsol05","2010/10/07 19:23:39"
"ZIDOU","自動","","sis01","2008/04/23 14:15:44","sis01","2008/04/23 14:15:44"
"ZIGYOUBU","事業部","","sis01","2008/04/21 10:46:00","sis01","2008/04/21 10:46:00"
"ZIHANKI","自販機","","sis01","2008/04/21 10:46:05","sis01","2008/04/21 10:46:05"
"ZIKAI","次回","","sis01","2008/04/21 10:46:11","sis01","2008/04/21 10:46:11"
"ZIKKOU","実行","","base00","2008/11/20 20:18:25","fsol05","2009/01/09 15:35:14"
"ZIKO","事故","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"ZIKOKU","時刻","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"ZIKOU","事項","","fsol05","2009/03/19 15:24:23","fsol05","2009/03/19 15:24:23"
"ZIMU","事務","","lpa01","2008/04/24 15:36:31","lpa01","2008/08/26 12:21:09"
"ZINZI","人事","","fsol10","2008/04/22 09:35:23","sis01","2008/04/23 14:21:41"
"ZISSEKI","実績","","sis01","2008/04/21 10:46:18","sis01","2008/04/21 10:46:18"
"ZISYA","自社","","sis01","2008/04/21 10:46:25","sis01","2008/04/21 10:46:25"
"ZITEN","時点","","fsol05","2010/10/07 19:23:38","fsol05","2010/10/07 19:23:38"
